toy_id,toy_name,setls_internal_id,rental_price_cents,fetch_status
257,Dino Hunt,143094,100,ok
258,Gator Goal,143096,50,ok
26,Wooden chunky train 2,142916,50,ok
266,JOHN DEERE MIGHTY TRIKE,143106,300,ok
267,Little Tikes UNICORN,143107,300,ok
269,Duplo Post Office,141573,50,ok
27,Wooden chunky tractor,142917,50,ok
273,Shapeboard,141576,50,ok
278,Duplo Playhouse,141579,100,ok
279,Ticket to Ride First Journey,143116,200,ok
28,Shopping Cart & Groceries,141364,50,ok
281,Mini Spinning Wheel,143118,50,ok
282,Mini Marble Run,141583,50,ok
283,Vtech Musical Rhymes Book,143119,50,ok
284,Playskool Hammer Bench,143120,50,ok
285,Playskool Musical Tambourine,143121,50,ok
286,Deer Bounce Game,143512,100,ok
287,Twinkles to go Octopus,143122,100,ok
290,GHOST BLITZ,143124,100,ok
292,Gobblet Junior,143125,100,ok
294,SUPER SANDWICH,143126,100,ok
299,Buildn Snail Pail,141597,50,ok
30,Duplo - Dino World,141366,100,ok
31,Crane,142919,200,ok
311,Rattle & Roll,143140,100,ok
313,Fisher Price Shapes Set,143141,50,ok
314,Loving Country Home,143455,200,ok
316,RALPH THE DINOSAUR,143145,50,ok
317,Slide,141615,200,ok
321,Felt Kids Deep Sea Diving,141619,50,ok
322,Alligator See Saw,141620,200,ok
323,Vtech Toot Toot Race Cars,143186,100,ok
324,Felt Kids Beach Party,141622,50,ok
34,Learning chair,142921,100,ok
35,Vehicle puzzle knobs,142922,50,ok
350,Kinderboard,143182,200,ok
352,Vtech Toot Toot Fire Station,143187,50,ok
353,Western Play Fort,141642,50,ok
359,Loving Family Home,143193,150,ok
369,Buzz About Mailbox,141651,100,ok
373,fisher price little driver,143314,50,ok
38,Music set 1,142924,50,ok
381,Animal Baby Lotto,141657,50,ok
385,Paw Patrol Pups to the rescue driver,143226,50,ok
394,V Tech Toot-Toot Train Station,143233,200,ok
396,Puzzle Blocks,141672,50,ok
398,Cookie Monster Pots and Pans,141674,50,ok
399,Poppity Pop Elephant,141675,50,ok
4,"Swagtron 2-in-1 Child Walker, Balance Bike and Scooter",143081,100,ok
40,Play Slide,141374,200,ok
407,"HARO Shredder 16"" Black and Blue Pedal bike",143239,300,ok
408,"HARO Shredder 16""  Blue and Black Pedal bike",143240,300,ok
41,Green trike tractor john deere,142926,200,ok
413,Peekaboo blocks,141687,50,ok
415,Electronic cash register,141689,50,ok
416,Magnetic Farm Board,141690,50,ok
418,Bob the Builders Playdough Activity Belt,141692,50,ok
422,Dinosaur Egg,143516,100,ok
423,Dinoland Felt Montage,141697,50,ok
43,ride on tcv green 2,142929,200,ok
44,Little tikes xylophone,142930,50,ok
441,Number Bugs,141713,50,ok
452,Car Shape Sorter,141724,50,ok
458,Barbie and pony,143294,50,ok
47,Big Strike Bowling Set,141380,50,ok
470,Motorised Thomas The Tank Engine,143306,50,ok
475,Tonka Fire Rescue,143456,50,ok
476,Wooden Play Set,143310,100,ok
477,Chicco Table,141749,100,ok
478,James Engine,143311,50,ok
48,Cosy coupe red,142932,50,ok
480,Rocking Pony,141752,200,ok
483,Baby Wobble Owl,143315,50,ok
49,Riding a Dino costume,142933,100,ok
490,Duplo - Airport Set,141762,200,ok
492,Tolo Activity Centre,141764,50,ok
50,Touch n Learn Cot Toy,141383,50,ok
502,Pop Onz - Build and Go Village,141773,50,ok
503,Little Tikes Activity Table,141774,100,ok
506,Katie Camper and Friends,141777,100,ok
508,Hullabaloo,141779,100,ok
51,Grufalo costume,142934,100,ok
510,Duplo Farm Set,141781,100,ok
511,Lil Boating Fun,141782,50,ok
527,Large Petrol Station,143346,50,ok
528,Wooden tool Set,142895,50,ok
529,Classic World Wooden Pirate Ship,143347,100,ok
538,Ultrasaucer,141808,200,ok
539,HART SOFT BLOCKS,143355,500,ok
540,Dinosaur Costume,141810,100,ok
547,Tappy Turtle,141817,50,ok
